specimen_number,web_link,author_name_1,author_name_2,specimen_name,cross_section_type,t,D1,D2,r,B1,B2,d1,d2,L,n,fy,Pt
1,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-7-30-ETF,C,1.45,121,121,7,45.8,46,27.3,27.5,610,30,332,3.84
2,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-7-60-ETF,C,1.45,121,121,7,45.8,46,27.3,27.5,610,63.5,332,4.74
3,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-10-30-ETF,C,1.45,120,120,10,45.6,45.3,29,29.3,610,30,332,3.75
4,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-10-60-ETF,C,1.45,120,120,10,45.6,45.3,29,29.3,610,63.5,332,4.17
5,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-14-100-ETF A,C,1.45,118,118,14,51.3,51.4,28.2,28,610,101,332,4.77
6,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-14-100-ETF B,C,1.45,118,118,14,51.3,51.4,28.2,28,610,101,332,4.68
7,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-7-30-ETF,C,1.16,200,200,7,51.9,51.4,32.4,33,1220,30,328,2.07
8,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-7-60-ETF,C,1.16,200,200,7,51.9,51.4,32.4,33,1220,63.5,328,2.46
9,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-30-ETF,C,1.16,200,200,10,56.1,56.7,31.6,31.4,1220,30,328,2.01
10,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-60-ETF,C,1.16,200,200,10,56.1,56.7,31.6,31.4,1220,63.5,328,2.19
11,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-30-ETF,C,1.16,200,200,14,61,61.1,27.9,28.3,1220,30,328,1.95
12,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-60-ETF,C,1.16,200,200,14,61,61.1,27.9,28.3,1220,63.5,328,2.13
13,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-30-ETF,C,1.45,300,300,7,46.8,46.7,16.3,17,1500,30,448,2.85
14,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-60-ETF,C,1.45,300,300,7,46.8,46.7,16.3,17,1500,63.5,448,3.27
15,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-30-ETF,C,1.45,300,300,10,45.7,47,20.5,19.9,1500,30,448,2.76
16,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-60-ETF,C,1.45,300,300,10,45.7,47,20.5,19.9,1500,63.5,448,3.06
17,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-30-ETF,C,1.45,299,298,14,51.5,51.9,18.6,19.3,1500,30,448,2.67
18,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-60-ETF,C,1.45,299,298,14,51.5,51.9,18.6,19.3,1500,63.5,448,2.91
