specimen_number,web_link,author_name_1,author_name_2,specimen_name,cross_section_type,loading_condition,t,D,r,B,d,L,n,fy,Pt
1,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF75N40-a,C,IOF,3.85,74.60,3.90,40.40,,444.30,40.00,450.00,49.00
2,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF75N40-b,C,IOF,3.85,74.60,3.90,40.30,,446.80,40.00,450.00,49.00
3,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF75N20-a,C,IOF,3.86,74.60,3.90,40.40,,424.80,20.00,450.00,47.20
4,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF75N20-b,C,IOF,3.86,74.50,3.90,40.40,,424.10,20.00,450.00,47.20
5,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF100N50-a,C,IOF,3.83,99.20,4.10,50.40,,529.20,50.00,440.00,57.90
6,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF100N50-b,C,IOF,3.83,99.20,4.10,50.50,,530.90,50.00,440.00,57.90
7,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF100N25-a,C,IOF,3.84,99.20,4.10,50.40,,505.00,25.00,440.00,56.30
8,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF100N25-b,C,IOF,3.84,99.30,4.10,50.40,,506.00,25.00,440.00,56.30
9,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF125N65-a,C,IOF,3.86,125.00,3.90,65.70,,618.50,65.00,405.00,63.60
10,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF125N65-b,C,IOF,3.86,125.00,3.90,65.60,,619.30,65.00,405.00,63.60
11,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%290733-9445%282001%29127%3A10%281137%29,Young,Hancock,IOF125N32-a,C,IOF,3.86,125.00,3.90,65.50,,587.00,32.00,405.00,57.40
